ID_Unico,Fondo_Documental,Nombre_Original,Nombre_Normalizado,Carpeta_Fisica,Numero_Documento,Tipo_Documental,Titulo,Fecha_Exacta,Fecha_Aproximada,Año,Autor_Emisor,Destinatario,Institucion_Vinculada,Lugar,Tema_Principal,Descripcion_Breve,Palabras_Clave,Soporte_Original_Inferido,Idioma,Cantidad_Paginas,Estado_Legibilidad,Estado_Conservacion_Inferido,Valor_Administrativo,Valor_Historico,Valor_Patrimonial,Nivel_Acceso,Duplicado_SN,Documento_Incompleto_SN,OCR_Revisado_SN,Ruta_Almacenamiento,Observaciones,Medidas
11,Estación La Lata – Cardona,Circular E.2495,LL_Carpeta02_DOC0005.pdf,Carpeta02,DOC0005,Circular Administrativa,División de Sumarios - Remisión de Adelantos,1987-12-26,,1987,Gerencia de Explotación AFE,Superintendencia,AFE,Montevideo,Procedimientos Administrativos,Procedimientos para confección y remisión de sumarios de adelantos,Sumarios; Adelantos; Procedimientos; Administración,Papel fotocopia,Español,1,Buena,Bueno,Alto,Medio,Medio,Público,No,No,No,Carpeta02/LL_Carpeta02_DOC0005.pdf,Catalogación por S. Pérez. Separado del sobre DOCS VARIOS 2.,20.2 cm x 29.7 cm
12,Estación La Lata – Cardona,Comunicación Movimiento Vagones,LL_Carpeta02_DOC0006.pdf,Carpeta02,DOC0006,Comunicación Operativa,Movimiento de Vagones - Procedimiento Reporting,1995-09-22,,1995,Jefatura de Tráfico AFE,Estaciones,AFE,Sayago,Operación Ferroviaria,Obligatoriedad de reportar movimiento de vagones a Departamento Técnico conforme formulario W.24,Vagones; Movimiento; Reporting; Operación,Papel fotocopia,Español,1,Buena,Bueno,Alto,Medio,Medio,Público,No,No,No,Carpeta02/LL_Carpeta02_DOC0006.pdf,Catalogación por S. Pérez. Separado del sobre DOCS VARIOS 2.,21.0 cm x 28.0 cm
13,Estación La Lata – Cardona,Comunicación Vagones Tolvas,LL_Carpeta02_DOC0007.pdf,Carpeta02,DOC0007,Comunicación Técnica,Programa Computación para Control de Vagones Tolvas,1998-01-22,,1998,Jefatura de Tráfico AFE,Estaciones,AFE,Montevideo,Sistemas Técnicos,Instrucciones para transmisión de información de vagones tolvas 2801P-2828P a Estaciones Concentradoras,Computación; Control; Vagones tolvas; Información técnica,Papel fotocopia,Español,4,Buena,Bueno,Alto,Medio,Medio,Público,No,No,No,Carpeta02/LL_Carpeta02_DOC0007.pdf,Catalogación por S. Pérez. Separado del sobre DOCS VARIOS 2. 4 páginas.,21.0 cm x 29.7 cm
14,Estación La Lata – Cardona,Diagrama Técnico Vagones,LL_Carpeta02_DOC0008.pdf,Carpeta02,DOC0008,Diagrama Técnico,Esquema Técnico del Sistema de Frenos en Vagones,1991-01-01,,1991,Departamento Técnico AFE,Técnicos,AFE,Montevideo,Especificaciones Técnicas,Diagrama técnico que ilustra funcionamiento del circuito de freno en vagones vacíos y cargados,Vagones; Frenos; Sistema técnico; Diagrama,Papel fotocopia,Español,4,Buena,Bueno,Alto,Medio,Medio,Público,No,No,No,Carpeta02/LL_Carpeta02_DOC0008.pdf,Catalogación por S. Pérez. Separado del sobre DOCS VARIOS 2. 4 páginas con diagramas.,21.0 cm x 27.3 cm
15,Estación La Lata – Cardona,Tabla Disponibilidad Vagones,LL_Carpeta02_DOC0009.pdf,Carpeta02,DOC0009,Formulario Operativo,Tabla de Disponibilidad de Vagones,1998-12-31,,1998,Departamento Técnico AFE,Operación,AFE,Montevideo,Inventario Operativo,Registro de disponibilidad de vagones vacíos listos para circulación por categoría,Vagones disponibles; Inventario; Operación,Papel fotocopia,Español,1,Buena,Bueno,Alto,Medio,Medio,Público,No,No,No,Carpeta02/LL_Carpeta02_DOC0009.pdf,Catalogación por S. Pérez. Separado del sobre DOCS VARIOS 2.,29.7 cm x 16.8 cm
16,Estación La Lata – Cardona,Adobe Scan 21 abr. 2026 (6).pdf,LL_Carpeta01_DOC0007.pdf,Carpeta01,DOC0007,Documento administrativo,[Inferido - documento administrativo AFE],,Años 70,1970,[inferido],[inferido],AFE,Uruguay,[inferido],Documento administrativo de archivos AFE. Contenido por determinar mediante análisis OCR.,AFE; documento administrativo; ferrocarril,Papel,[inferido],1,Buena,Buen estado,Medio,Medio,Bajo,Público,No,No,No,Carpeta01/LL_Carpeta01_DOC0007.pdf,Catalogación realizada por Sergio Pérez. Documento de Carpeta01 previamente no incluido en inventario.,21.0 cm x 26.3 cm
17,Estación La Lata – Cardona,Adobe Scan 21 abr. 2026 (7).pdf,LL_Carpeta01_DOC0008.pdf,Carpeta01,DOC0008,Documento administrativo,[Inferido - documento administrativo AFE],,Años 70,1970,[inferido],[inferido],AFE,Uruguay,[inferido],Documento administrativo de archivos AFE. Contenido por determinar mediante análisis OCR.,AFE; documento administrativo; ferrocarril,Papel,[inferido],1,Buena,Buen estado,Medio,Medio,Bajo,Público,No,No,No,Carpeta01/LL_Carpeta01_DOC0008.pdf,Catalogación realizada por Sergio Pérez. Documento de Carpeta01 previamente no incluido en inventario.,17.9 cm x 29.7 cm
18,Estación La Lata – Cardona,Adobe Scan 21 abr. 2026 (8).pdf,LL_Carpeta01_DOC0009.pdf,Carpeta01,DOC0009,Documento administrativo,[Inferido - documento administrativo AFE],,Años 70,1970,[inferido],[inferido],AFE,Uruguay,[inferido],Documento administrativo de archivos AFE. Contenido por determinar mediante análisis OCR.,AFE; documento administrativo; ferrocarril,Papel,[inferido],1,Buena,Buen estado,Medio,Medio,Bajo,Público,No,No,No,Carpeta01/LL_Carpeta01_DOC0009.pdf,Catalogación realizada por Sergio Pérez. Documento de Carpeta01 previamente no incluido en inventario.,13.0 cm x 29.8 cm
19,Estación La Lata – Cardona,Adobe Scan 21 abr. 2026 (9).pdf,LL_Carpeta01_DOC0010.pdf,Carpeta01,DOC0010,Documento administrativo,[Inferido - documento administrativo AFE],,Años 70,1970,[inferido],[inferido],AFE,Uruguay,[inferido],Documento administrativo de archivos AFE. Contenido por determinar mediante análisis OCR.,AFE; documento administrativo; ferrocarril,Papel,[inferido],1,Buena,Buen estado,Medio,Medio,Bajo,Público,No,No,No,Carpeta01/LL_Carpeta01_DOC0010.pdf,Catalogación realizada por Sergio Pérez. Documento de Carpeta01 previamente no incluido en inventario.,21.0 cm x 28.2 cm
20,Estación La Lata – Cardona,Adobe Scan 21 abr. 2026 (10).pdf,LL_Carpeta01_DOC0011.pdf,Carpeta01,DOC0011,Libro de Quejas y Órdenes de Inspección,Libro de Quejas y Órdenes de Inspección Ferroviaria - Estación Cardona,29/10/1903,,1903,[Inferido] Administración de Inspección Ferroviaria,[Inferido] Jefatura de Estación,Ferrocarriles del Uruguay,Cardona,Administración ferroviaria - Inspección y control,"Libro manuscrito de quejas y órdenes de inspección ferroviaria de principios de siglo XX (1903). Documento fundacional del registro administrativo de Estación Cardona. Contiene quejas de usuarios y órdenes de inspección técnica. Sello oficial de ""Inspección Oficial - Ferrocarriles"" (azul). Valor excepcional para historia administrativa ferroviaria de la región.",Libro de Quejas; Inspección; 1903; Ferrocarril; Cardona; Órdenes; Administración; Manuscrito; Siglo XX; Historia ferroviaria,Papel - Libro encuadernado manuscrito,Español,1,Clara,Excelente,Excepcional,Excepcional,Excepcional,Público,No,No,Sí,Carpeta01/LL_Carpeta01_DOC0011.pdf,"Catalogación revisada por Sergio Pérez. DOCUMENTO DE VALOR PATRIMONIAL EXCEPCIONAL. Libro de Quejas y Órdenes de Inspección Ferroviaria de 1903. Fecha confirmada: 29/10/1903 (página 2). Sello oficial de ""Inspección Oficial de Ferrocarriles"" visible. Documento fundacional - primeros registros administrativos de Estación Cardona. Valor excepcional para patrimonio ferroviario uruguayo e historia local.",21.0 cm x 27.0 cm
21,Estación La Lata – Cardona,Libro 21 abr. 2026.pdf,LL_Carpeta02_DOC0010.pdf,Carpeta02,DOC0010,Manuscrito Administrativo,Sumario Mensual - Remisión de Adelantos - Circular E.2495,26/11/1987,,1987,Oficina Trenes Nº3 AFE,Gerencia de Explotación AFE,Administración de Ferrocarriles del Estado (AFE),Uruguay,Administración Operativa - Sumarios de Adelantos,Manuscrito administrativo de 6 páginas con sumario mensual referente a remisión de adelantos (encerados cadenas tablas) según Circular E.2495. Documento de control administrativo para gestión de material ferroviario y suministros de estación.,AFE; Administración Ferrocarriles; sumario mensual; adelantos; encerados; circular E.2495; 1987; operación; ferrocarril; manuscrito; gestión administrativa,Papel - manuscrito,Español,6,Clara,Buen estado,Medio,Medio,Medio,Público,No,No,No,Carpeta02/LL_Carpeta02_DOC0010.pdf,Catalogación realizada por Sergio Pérez. Sumario administrativo manuscrito sobre tabla de corte (referencia de medidas). Fechas: 26/11/1987 y referencias a 30/11/1987. Documento tardío de operación AFE.,20.9 cm x 26.7 cm
22,Estación La Lata – Cardona,Adobe Scan 21 abr. 2026 (13).pdf,LL_Carpeta02_DOC0011.pdf,Carpeta02,DOC0011,Formulario Administrativo Impreso,Matriz - Detalle de Cargas y Haciendas - Administración de Ferrocarriles del Estado,,,,[Inferido] Administración de Ferrocarriles del Estado (AFE),[Inferido] Administrador de Ferrocarriles,Administración de Ferrocarriles del Estado (AFE),Uruguay,Administración de Cargas - Control de Haciendas,Formulario administrativo de 14 páginas - matriz de 3000 ejemplares para control de detalle de cargas y haciendas en transporte ferroviario. Documento de gestión operativa para registro y seguimiento de mercancías transportadas. Presenta estructura tabular con columnas para estación TPCO detalle de cargas ITTRO kilos y número de referencia.,Administración; ferrocarriles; cargas; haciendas; matriz; transporte; control administrativo; registro operativo; AFE; gestión logística; inventario,Papel impreso,Español,14,Legible,Buen estado,Bajo,Bajo,Bajo,Público,No,No,No,Carpeta02/LL_Carpeta02_DOC0011.pdf,Matriz estandarizada para registro de cargas. Todos los ejemplares sin datos completados (en blanco). Valor como referencia documental de procedimientos administrativos de AFE. Estructura sin datación clara en el documento principal.,18.7 cm x 29.7 cm
23,Estación La Lata – Cardona,Adobe Scan 21 abr. 2026 (14).pdf,LL_Carpeta02_DOC0012.pdf,Carpeta02,DOC0012,Libro Manuscrito de Registros,Libro de Órdenes de Control y Vigilancia - Estación Cardona,1 Octubre 19[XX],,19XX,[Inferido] Administrador de Estación Cardona,[Inferido] Oficina Central AFE,Administración de Ferrocarriles del Estado (AFE),Cardona - Uruguay,Administración de Estación - Control de Órdenes,Libro de registro manuscrito de 9 páginas encuadernado con lomo de cartulina. Número de control N.º 56 7046. Contiene registro de órdenes y control administrativo de la Estación Cardona iniciado en octubre de 1900s. Documento de control operativo y administrativo para vigilancia de operaciones ferroviarias en estación.,Libro de control; órdenes administrativas; estación Cardona; AFE; manuscrito; registro operativo; vigilancia; 1900s; transporte ferroviario; administración local,Papel grueso - cartulina lomo azul,Español,9,Clara,Buen estado,Medio,Alto,Alto,Público,No,No,No,Carpeta02/LL_Carpeta02_DOC0012.pdf,[Inferido] Por datación incompleta - año estimado 1900s por contexto. N.º de control 56 7046 visible en etiqueta. Valor histórico moderado-alto para referencia de procedimientos operativos de Estación Cardona. Contiene órdenes y anotaciones administrativas manuscritas.,18.9 cm x 29.7 cm
24,Estación La Lata – Cardona,Adobe Scan 21 abr. 2026 (15).pdf,LL_Carpeta02_DOC0013.pdf,Carpeta02,DOC0013,Libro Manuscrito de Registros,Libro de Registros de Control y Vigilancia - Estación Risso,29 Agosto 1993,,1993,[Inferido] Administrador de Estación Risso,[Inferido] Oficina Central AFE,Administración de Ferrocarriles del Estado (AFE),Risso - Uruguay,Administración de Estación - Control de Operaciones,Libro de registro manuscrito de 8 páginas encuadernado con lomo de cartulina azul oscuro. Número de control N.º 56 5650-1. Contiene registro de control y vigilancia de la Estación Risso iniciado el 29 de agosto de 1993. Documento de control operativo tardío de la institución para administración de operaciones en estación menor.,Libro de control; estación Risso; AFE; registro 1993; manuscrito; vigilancia operativa; transporte ferroviario; administración; operaciones estación; 1990s,Papel grueso - cartulina lomo azul oscuro,Español,8,Clara,Muy buen estado,Medio,Medio,Medio,Público,No,No,No,Carpeta02/LL_Carpeta02_DOC0013.pdf,N.º de control 56 5650-1. Fecha de inicio 29 Agosto 1993. Documento tardío de operación AFE registrando operaciones en estación menor de red. Valor administrativo e histórico moderado para referencia de últimas operaciones de la institución.,21.0 cm x 26.2 cm
25,Estación La Lata – Cardona,LL_Carpeta03_DOC0001.pdf,LL_Carpeta03_DOC0001.pdf,Carpeta03,DOC0001,[Requiere catalogación],[Requiere catalogación],,[Requiere análisis],,[Requiere análisis],,[Requiere análisis],Uruguay,[Requiere análisis],[Documento de Carpeta03 - requiere catalogación manual por baja legibilidad OCR],[Requiere análisis],Papel,[Requiere análisis],1,[Requiere análisis],[Requiere análisis],[Requiere análisis],[Requiere análisis],[Requiere análisis],Público,No,[Requiere análisis],No,Carpeta03/LL_Carpeta03_DOC0001.pdf,Documento de Carpeta03 convertido de JPG a PDF. OCR aplicado pero requiere revisión manual debido a posible baja calidad de imagen original.,[Requiere medición]
26,Estación La Lata – Cardona,LL_Carpeta03_DOC0002.pdf,LL_Carpeta03_DOC0002.pdf,Carpeta03,DOC0002,[Requiere catalogación],[Requiere catalogación],,[Requiere análisis],,[Requiere análisis],,[Requiere análisis],Uruguay,[Requiere análisis],[Documento de Carpeta03 - requiere catalogación manual por baja legibilidad OCR],[Requiere análisis],Papel,[Requiere análisis],1,[Requiere análisis],[Requiere análisis],[Requiere análisis],[Requiere análisis],[Requiere análisis],Público,No,[Requiere análisis],No,Carpeta03/LL_Carpeta03_DOC0002.pdf,Documento de Carpeta03 convertido de JPG a PDF. OCR aplicado pero requiere revisión manual debido a posible baja calidad de imagen original.,[Requiere medición]
27,Estación La Lata – Cardona,LL_Carpeta03_DOC0003.pdf,LL_Carpeta03_DOC0003.pdf,Carpeta03,DOC0003,[Requiere catalogación],[Requiere catalogación],,[Requiere análisis],,[Requiere análisis],,[Requiere análisis],Uruguay,[Requiere análisis],[Documento de Carpeta03 - requiere catalogación manual por baja legibilidad OCR],[Requiere análisis],Papel,[Requiere análisis],1,[Requiere análisis],[Requiere análisis],[Requiere análisis],[Requiere análisis],[Requiere análisis],Público,No,[Requiere análisis],No,Carpeta03/LL_Carpeta03_DOC0003.pdf,Documento de Carpeta03 convertido de JPG a PDF. OCR aplicado pero requiere revisión manual debido a posible baja calidad de imagen original.,[Requiere medición]
28,Estación La Lata – Cardona,LL_Carpeta03_DOC0004.pdf,LL_Carpeta03_DOC0004.pdf,Carpeta03,DOC0004,[Requiere catalogación],[Requiere catalogación],,[Requiere análisis],,[Requiere análisis],,[Requiere análisis],Uruguay,[Requiere análisis],[Documento de Carpeta03 - requiere catalogación manual por baja legibilidad OCR],[Requiere análisis],Papel,[Requiere análisis],1,[Requiere análisis],[Requiere análisis],[Requiere análisis],[Requiere análisis],[Requiere análisis],Público,No,[Requiere análisis],No,Carpeta03/LL_Carpeta03_DOC0004.pdf,Documento de Carpeta03 convertido de JPG a PDF. OCR aplicado pero requiere revisión manual debido a posible baja calidad de imagen original.,[Requiere medición]
29,Estación La Lata – Cardona,LL_Carpeta03_DOC0005.pdf,LL_Carpeta03_DOC0005.pdf,Carpeta03,DOC0005,[Requiere catalogación],[Requiere catalogación],,[Requiere análisis],,[Requiere análisis],,[Requiere análisis],Uruguay,[Requiere análisis],[Documento de Carpeta03 - requiere catalogación manual por baja legibilidad OCR],[Requiere análisis],Papel,[Requiere análisis],1,[Requiere análisis],[Requiere análisis],[Requiere análisis],[Requiere análisis],[Requiere análisis],Público,No,[Requiere análisis],No,Carpeta03/LL_Carpeta03_DOC0005.pdf,Documento de Carpeta03 convertido de JPG a PDF. OCR aplicado pero requiere revisión manual debido a posible baja calidad de imagen original.,[Requiere medición]
30,Estación La Lata – Cardona,LL_Carpeta03_DOC0006.pdf,LL_Carpeta03_DOC0006.pdf,Carpeta03,DOC0006,[Requiere catalogación],[Requiere catalogación],,[Requiere análisis],,[Requiere análisis],,[Requiere análisis],Uruguay,[Requiere análisis],[Documento de Carpeta03 - requiere catalogación manual por baja legibilidad OCR],[Requiere análisis],Papel,[Requiere análisis],1,[Requiere análisis],[Requiere análisis],[Requiere análisis],[Requiere análisis],[Requiere análisis],Público,No,[Requiere análisis],No,Carpeta03/LL_Carpeta03_DOC0006.pdf,Documento de Carpeta03 convertido de JPG a PDF. OCR aplicado pero requiere revisión manual debido a posible baja calidad de imagen original.,[Requiere medición]
31,Estación La Lata – Cardona,LL_Carpeta03_DOC0007.pdf,LL_Carpeta03_DOC0007.pdf,Carpeta03,DOC0007,[Requiere catalogación],[Requiere catalogación],,[Requiere análisis],,[Requiere análisis],,[Requiere análisis],Uruguay,[Requiere análisis],[Documento de Carpeta03 - requiere catalogación manual por baja legibilidad OCR],[Requiere análisis],Papel,[Requiere análisis],1,[Requiere análisis],[Requiere análisis],[Requiere análisis],[Requiere análisis],[Requiere análisis],Público,No,[Requiere análisis],No,Carpeta03/LL_Carpeta03_DOC0007.pdf,Documento de Carpeta03 convertido de JPG a PDF. OCR aplicado pero requiere revisión manual debido a posible baja calidad de imagen original.,[Requiere medición]
32,Estación La Lata – Cardona,LL_Carpeta03_DOC0008.pdf,LL_Carpeta03_DOC0008.pdf,Carpeta03,DOC0008,[Requiere catalogación],[Requiere catalogación],,[Requiere análisis],,[Requiere análisis],,[Requiere análisis],Uruguay,[Requiere análisis],[Documento de Carpeta03 - requiere catalogación manual por baja legibilidad OCR],[Requiere análisis],Papel,[Requiere análisis],1,[Requiere análisis],[Requiere análisis],[Requiere análisis],[Requiere análisis],[Requiere análisis],Público,No,[Requiere análisis],No,Carpeta03/LL_Carpeta03_DOC0008.pdf,Documento de Carpeta03 convertido de JPG a PDF. OCR aplicado pero requiere revisión manual debido a posible baja calidad de imagen original.,[Requiere medición]
33,Estación La Lata – Cardona,LL_Carpeta03_DOC0009.pdf,LL_Carpeta03_DOC0009.pdf,Carpeta03,DOC0009,[Requiere catalogación],[Requiere catalogación],,[Requiere análisis],,[Requiere análisis],,[Requiere análisis],Uruguay,[Requiere análisis],[Documento de Carpeta03 - requiere catalogación manual por baja legibilidad OCR],[Requiere análisis],Papel,[Requiere análisis],1,[Requiere análisis],[Requiere análisis],[Requiere análisis],[Requiere análisis],[Requiere análisis],Público,No,[Requiere análisis],No,Carpeta03/LL_Carpeta03_DOC0009.pdf,Documento de Carpeta03 convertido de JPG a PDF. OCR aplicado pero requiere revisión manual debido a posible baja calidad de imagen original.,[Requiere medición]
